dataset	cell_type	target	perturbation	program	n_program_genes	n_sig_fdr	mean_abs_Z	mean_FC	network_score
GSE154778_primary	myeloid	EPAS1	KO	angiogenesis	7	1	1.48307510563376	3.07863428851999	3.4600515831197
GSE154778_primary	myeloid	EPAS1	KO	TGFb_fibrosis	10	0	0.912138948856648	0.00380123790010316	0.000305560770933875
GSE154778_primary	myeloid	EPAS1	OE	endothelial	10	1	1.21850295450091	6.06465697870856	11.9325896727284
GSE154778_primary	myeloid	EPAS1	OE	CAF_ECM	8	0	1.17022680967109	0.393612215489928	1.80907832725401e-13
GSE154778_primary	myeloid	EPAS1	OE	myeloid_inflammation	10	0	0.995566880090633	0.28099085752157	2.26134790906752e-13
GSE154778_primary	myeloid	EPAS1	OE	cytotoxic_TNK	7	0	1.13443461700773	0.000227109742598179	1.58294353634726e-13
GSE154778_primary	myeloid	EPAS1	OE	T_exhaustion	7	0	1.22782874094494	2.29839249905565e-26	1.58294353634726e-13
GSE154778_primary	myeloid	EPAS1	OE	TNF_NFkB	8	0	0.97579046797643	0.0354759243152013	1.80907832725401e-13
GSE154778_primary	myeloid	EPAS1	OE	angiogenesis	7	1	1.16232174724931	8.6693385816596	11.9325896727283
GSE154778_primary	myeloid	EPAS1	OE	TGFb_fibrosis	10	0	1.13151544911629	0.218409421233847	2.26134790906752e-13
GSE154778_primary	myeloid	HERPUD1	KO	endothelial	10	0	1.42308024448554	0.00292745456282803	2.93718234918865e-10
GSE154778_primary	myeloid	HERPUD1	KO	CAF_ECM	8	0	0.492729605752043	0.00265355832631153	2.34974587935092e-10
GSE154778_primary	myeloid	HERPUD1	KO	myeloid_inflammation	10	0	0.645005096781921	1.16440673691904	1.3316734925813
GSE154778_primary	myeloid	HERPUD1	KO	cytotoxic_TNK	7	0	1.19112220492923	0.0708897800817611	2.05602764443206e-10
GSE154778_primary	myeloid	HERPUD1	KO	T_exhaustion	7	0	1.34523281396598	0.0786706901436069	2.05602764443206e-10
GSE154778_primary	myeloid	HERPUD1	KO	TNF_NFkB	8	0	1.08505192915038	2.94206006608594	2.60928301881486
GSE154778_primary	myeloid	HERPUD1	KO	angiogenesis	7	0	1.40688658721408	0.209834198956583	2.05602764443206e-10
GSE154778_primary	myeloid	HERPUD1	KO	TGFb_fibrosis	10	0	0.914250583927271	0.00132286192001801	2.93718234918865e-10
GSE154778_primary	myeloid	HERPUD1	OE	endothelial	10	0	1.25096732498394	1.7287666884666e-25	3.90070460220822e-13
GSE154778_primary	myeloid	HERPUD1	OE	CAF_ECM	8	0	1.10181223693735	0.433610887593639	0.0951800978538725
GSE154778_primary	myeloid	HERPUD1	OE	myeloid_inflammation	10	0	0.966293379142157	0.557878176883764	0.132592468094226
GSE154778_primary	myeloid	HERPUD1	OE	cytotoxic_TNK	7	0	1.14067266497989	9.69028637070697e-05	2.73049322154575e-13
GSE154778_primary	myeloid	HERPUD1	OE	T_exhaustion	7	0	1.24896175734448	1.87070940825776e-25	2.73049322154575e-13
GSE154778_primary	myeloid	HERPUD1	OE	TNF_NFkB	8	0	0.998800739740303	0.192667315198305	3.12056368176658e-13
GSE154778_primary	myeloid	HERPUD1	OE	angiogenesis	7	0	1.16481266198924	0.00379956758312767	2.73049322154575e-13
GSE154778_primary	myeloid	HERPUD1	OE	TGFb_fibrosis	10	0	1.14618753092503	0.372695236362251	0.0951800978539505
GSE154778_primary	myeloid	MARCKS	KO	endothelial	10	0	1.40213207281781	0.00156536378169077	1.61118015653313e-08
GSE154778_primary	myeloid	MARCKS	KO	CAF_ECM	8	0	0.399882162366165	0.142200304463759	1.2889441252265e-08
GSE154778_primary	myeloid	MARCKS	KO	myeloid_inflammation	10	0	0.673383930205939	0.865763330867612	0.522506211729646
GSE154778_primary	myeloid	MARCKS	KO	cytotoxic_TNK	7	0	1.18174326207981	0.04148450852158	1.12782610957319e-08
GSE154778_primary	myeloid	MARCKS	KO	T_exhaustion	7	0	1.36719996953134	0.0616296737313408	1.12782610957319e-08
GSE154778_primary	myeloid	MARCKS	KO	TNF_NFkB	8	2	1.27443774900686	4.69426080904332	4.35422953992144
GSE154778_primary	myeloid	MARCKS	KO	angiogenesis	7	0	1.36424987117598	0.122222497789266	1.12782610957319e-08
GSE154778_primary	myeloid	MARCKS	KO	TGFb_fibrosis	10	0	0.995577071040767	0.118084460309189	1.61118015653313e-08
GSE154778_primary	myeloid	MARCKS	OE	endothelial	10	0	1.26057419533175	1.43191325140483e-26	2.12152042641724e-14
GSE154778_primary	myeloid	MARCKS	OE	CAF_ECM	8	0	1.07156704550042	0.482862935631251	1.69721634113379e-14
GSE154778_primary	myeloid	MARCKS	OE	myeloid_inflammation	10	0	0.943659973819218	0.38990224306326	2.12152042641724e-14
GSE154778_primary	myeloid	MARCKS	OE	cytotoxic_TNK	7	0	1.15354384249005	4.00407355090687e-05	1.48506429849207e-14
GSE154778_primary	myeloid	MARCKS	OE	T_exhaustion	7	0	1.28116011950234	8.6394080193114e-27	1.48506429849207e-14
GSE154778_primary	myeloid	MARCKS	OE	TNF_NFkB	8	0	0.950737185810386	0.0105780526279017	1.69721634113379e-14
GSE154778_primary	myeloid	MARCKS	OE	angiogenesis	7	0	1.17930090645503	0.00303770786530231	1.48506429849207e-14
GSE154778_primary	myeloid	MARCKS	OE	TGFb_fibrosis	10	0	1.14755888998551	0.355393238064291	2.12152042641724e-14
GSE154778_primary	myeloid	TACC1	KO	endothelial	10	0	1.32471672706489	0.000183918332041331	7.04522700045245e-10
GSE154778_primary	myeloid	TACC1	KO	CAF_ECM	8	0	0.496203543652824	0.50603153986123	0.191212015716672
GSE154778_primary	myeloid	TACC1	KO	myeloid_inflammation	10	0	0.719125967342929	0.701045899806409	0.154656572254334
GSE154778_primary	myeloid	TACC1	KO	cytotoxic_TNK	7	0	1.21830676559294	0.00710198516159977	4.93165890031671e-10
GSE154778_primary	myeloid	TACC1	KO	T_exhaustion	7	0	1.29323753998179	0.0132097075906814	4.93165890031671e-10
GSE154778_primary	myeloid	TACC1	KO	TNF_NFkB	8	1	1.38326347006835	5.83514357547081	5.46228368343697
GSE154778_primary	myeloid	TACC1	KO	angiogenesis	7	0	1.27546147398455	0.020617536689768	4.93165890031671e-10
GSE154778_primary	myeloid	TACC1	KO	TGFb_fibrosis	10	0	1.06736607949608	0.424306680757565	0.191212015857576
GSE154778_primary	myeloid	TACC1	OE	endothelial	10	0	1.24070051625836	1.1565996793659e-26	4.58055546612814e-14
GSE154778_primary	myeloid	TACC1	OE	CAF_ECM	8	0	1.11742077173375	0.338200890235698	3.66444437290251e-14
GSE154778_primary	myeloid	TACC1	OE	myeloid_inflammation	10	0	0.953256943549483	0.712798806643831	0.266432642659851
GSE154778_primary	myeloid	TACC1	OE	cytotoxic_TNK	7	0	1.14172493160882	0.000166501635354112	3.2063888262897e-14
GSE154778_primary	myeloid	TACC1	OE	T_exhaustion	7	0	1.24022626326757	1.1137618728351e-26	3.2063888262897e-14
