patient_id	sample_id	genes_detected	library_size	mapped_to_reference
TCGA-HZ-7289	TCGA-HZ-7289-01A	27257	52308095	60616
TCGA-F2-7276	TCGA-F2-7276-01A	33686	63965513	60616
TCGA-F2-7273	TCGA-F2-7273-01A	34164	84257526	60616
TCGA-RL-AAAS	TCGA-RL-AAAS-01A	31125	43858350	60616
TCGA-HZ-8637	TCGA-HZ-8637-01A	37669	71602649	60616
TCGA-M8-A5N4	TCGA-M8-A5N4-01A	31767	39628230	60616
TCGA-XD-AAUI	TCGA-XD-AAUI-01A	33599	43820286	60616
TCGA-2J-AABR	TCGA-2J-AABR-01A	31773	34193878	60616
TCGA-IB-AAUW	TCGA-IB-AAUW-01A	35462	53365335	60616
TCGA-IB-7647	TCGA-IB-7647-01A	33900	81767545	60616
TCGA-IB-A5SS	TCGA-IB-A5SS-01A	30991	59878470	60616
TCGA-2L-AAQM	TCGA-2L-AAQM-01A	31769	38449367	60616
TCGA-IB-7885	TCGA-IB-7885-01A	33058	69005144	60616
TCGA-2L-AAQA	TCGA-2L-AAQA-01A	34175	54624863	60616
TCGA-3A-A9IZ	TCGA-3A-A9IZ-01A	30762	29872576	60616
TCGA-IB-7886	TCGA-IB-7886-01A	33693	57346308	60616
TCGA-HV-A5A4	TCGA-HV-A5A4-01A	32086	39890612	60616
TCGA-US-A774	TCGA-US-A774-01A	33282	53359793	60616
TCGA-IB-7897	TCGA-IB-7897-01A	35568	56333124	60616
TCGA-IB-7644	TCGA-IB-7644-01A	31391	67761842	60616
TCGA-HZ-8315	TCGA-HZ-8315-01A	35833	61953329	60616
TCGA-Q3-AA2A	TCGA-Q3-AA2A-01A	31331	31875143	60616
TCGA-HZ-A49I	TCGA-HZ-A49I-01A	32386	39010754	60616
TCGA-2L-AAQL	TCGA-2L-AAQL-01A	29905	35772560	60616
TCGA-HZ-A49H	TCGA-HZ-A49H-01A	30570	43676358	60616
TCGA-IB-A5SQ	TCGA-IB-A5SQ-01A	32618	45249746	60616
