sample	patient	n_spots	n_in_tissue	n_position_matched	n_genes_median	total_counts_median	n_endo_up	n_endo_down	n_vascular_markers	EPAS1_vascular_rho	EPAS1_program_rho	program_vascular_rho	image_present	scalefactor_present
GSM8641053_C2_D9_s2	D9	2364	2364	2364	2795.0	5373.5	7	17	3	0.300056822606656	0.122458257471863	0.176587559168746	True	True
GSM8641054_C2_D9_s4	D9	2395	2395	2395	4786.0	11882.0	7	17	3	0.190015298450454	-0.0442108789012674	-0.0706447651770499	True	True
GSM8641055_C2_D9_s5	D9	2303	2303	2303	4507.0	11032.0	7	17	3	0.160307125109752	-0.0257684672221747	-0.104500934505996	True	True
GSM8641056_C2_D9_s6	D9	2247	2247	2247	4926.0	12557.0	7	17	3	0.173566040545865	-0.0354877807526766	-0.0774427139091913	True	True
GSM8641057_C2_D9_s7	D9	2346	2346	2346	3310.0	6876.0	7	17	3	0.0902428743323032	-0.0415358488903935	-0.0614983266384642	True	True
GSM8641058_C2_D9_s8	D9	2375	2375	2375	2431.0	4422.0	7	17	3	0.0496054428355304	0.0064241213252843	-0.0213496170256695	True	True
GSM8641059_C3_D10_ROI1	D10	4257	4257	4257	5381.0	18985.0	7	17	3	0.161488384734291	0.0010838753721136	0.034333964258213	True	True
GSM8641060_C3_D10_ROI2	D10	3564	3564	3564	4191.5	20757.5	7	17	3	0.236807744909019	0.0804920406004437	0.182980927614224	True	True
GSM8641061_C3_D10_ROI3	D10	3228	3228	3228	5193.5	18173.0	7	17	3	0.21060435202938	0.091834450256369	0.141964429197972	True	True
GSM8641062_C3_D10_ROI4	D10	3568	3568	3568	4651.5	16174.5	7	17	3	0.254048947612008	0.0027597710497348	0.0016996606569359	True	True
GSM8641063_C3_D11_ROI1	D11	4431	4431	4431	3577.0	8717.0	7	17	3	0.294382404211565	-0.113697710802221	-0.225316478559352	True	True
GSM8641064_C3_D11_ROI2	D11	4300	4300	4300	5167.5	15564.5	7	17	3	0.092983680243163	-0.0842928976601406	-0.0050898458939963	True	True
GSM8641065_C3_D11_ROI3	D11	4270	4270	4270	4865.5	14205.0	7	17	3	0.31704788253432	-0.158144028344187	-0.0703597204321378	True	True
GSM8641066_C3_D11_ROI4	D11	3775	3775	3775	6244.0	20774.0	7	17	3	0.177563909506518	-0.0689708571752625	-0.0745629733420356	True	True
GSM8641067_C3_D12_ROI1_s1	D12	3337	3337	3337	7568.0	28558.0	7	17	3	0.327212244653488	-0.175792448454266	-0.0411772961562859	True	True
