module	trait	rho	p	padj
ME4	T_exhaustion	0.0493899007265443	0.512660440005247	0.563926484005772
ME2	T_exhaustion	0.22765017357694	0.0022426373323746	0.0044051804743074
ME8	T_exhaustion	0.227914023293249	0.0022155753763234	0.0044044570734139
ME10	angiogenesis	0.0211622367221354	0.779184675018949	0.796854616927191
ME7	angiogenesis	-0.421390339057525	4.69834809130343e-09	2.15340954184741e-08
ME3	angiogenesis	-0.558194289143116	5.72275091956613e-16	4.9697573775179606e-15
ME5	angiogenesis	-0.332045292782753	5.95551215651517e-06	1.75474911754465e-05
ME0	angiogenesis	-0.190964423908614	0.0106684323992813	0.0179621565906266
ME9	angiogenesis	0.621779942953138	2.0042462145289302e-20	2.8469879823930104e-19
ME1	angiogenesis	0.662238318000615	7.81997609965279e-24	1.61287007055339e-22
ME6	angiogenesis	0.225658533782871	0.002456797483446	0.0047690774678659
ME4	angiogenesis	0.304892178026213	3.50238126828655e-05	8.94487500097469e-05
ME2	angiogenesis	0.547378578594766	2.6542270056249304e-15	2.0854640758481602e-14
ME8	angiogenesis	0.402369753460102	2.58273756838961e-08	1.03939438727874e-07
ME10	antigen_presentation	-0.0090655783575142	0.90440374007168	0.909918397023337
ME7	antigen_presentation	-0.0875140569128094	0.245403143682092	0.299937175611446
ME3	antigen_presentation	0.20292064613391	0.0065966839728003	0.0117037941452909
ME5	antigen_presentation	0.0795985654235586	0.29088953144199	0.345300522934736
ME0	antigen_presentation	-0.0646314774839376	0.391382450959958	0.445366237299263
ME9	antigen_presentation	0.13689012680745	0.0684455728028359	0.0967985671665082
ME1	antigen_presentation	0.397863030079932	3.80866809331186e-08	1.49626246522966e-07
ME6	antigen_presentation	0.346261260159012	2.19656515013943e-06	7.24866499546013e-06
ME4	antigen_presentation	0.0330163235733763	0.661742523564004	0.695461887822043
ME2	antigen_presentation	-0.135136802886175	0.0720967524323853	0.0999660853054081
ME8	antigen_presentation	0.0208494471390924	0.782366351164878	0.796854616927191
ME10	cytotoxic_TNK	0.126714890167236	0.0918964258970032	0.124286149778734
ME7	cytotoxic_TNK	-0.387479267051022	9.12044273975043e-08	3.49970477222982e-07
ME3	cytotoxic_TNK	-0.305502862450249	3.37185764917174e-05	8.83105574783076e-05
ME5	cytotoxic_TNK	-0.222862577918119	0.0027887887099262	0.0052890820360669
ME0	cytotoxic_TNK	-0.167241355464083	0.0256614737858633	0.0399447469308249
ME9	cytotoxic_TNK	0.429565424622498	2.1848260976479402e-09	1.06028325327032e-08
ME1	cytotoxic_TNK	0.696436645746647	3.71866219292804e-27	8.765418026187519e-26
ME6	cytotoxic_TNK	0.252226497958888	0.0006825435794336	0.0014255657038804
ME4	cytotoxic_TNK	0.13747314956768	0.0672653895735245	0.0965112111272308
ME2	cytotoxic_TNK	0.0973254362829533	0.196216741012028	0.244782737446171
ME8	cytotoxic_TNK	0.0681806817323436	0.365842763616374	0.419194833310428
ME10	endothelial_junction	0.0611950477110505	0.417105821442869	0.471386716014202
ME7	endothelial_junction	-0.282111733971396	0.0001361227950707	0.000311948072037
ME3	endothelial_junction	-0.545246502661371	3.5684583805079506e-15	2.67634378538096e-14
ME5	endothelial_junction	-0.342488634779861	2.87601273635521e-06	9.12580964420403e-06
ME0	endothelial_junction	-0.189464310602184	0.0113108699530849	0.0188514499218081
ME9	endothelial_junction	0.602610409935219	5.62680492396554e-19	6.6315915175308094e-18
ME1	endothelial_junction	0.619111656305955	3.2322921962107704e-20	4.1025247105752103e-19
ME6	endothelial_junction	0.142452249052854	0.0578483580426814	0.084468841389756
ME4	endothelial_junction	0.323616996602935	1.05136886729553e-05	2.94026886616546e-05
ME2	endothelial_junction	0.517099695828089	1.46975638466135e-13	1.05439044986575e-12
ME8	endothelial_junction	0.373144141738365	2.90067523346486e-07	1.04045959461239e-06
ME10	glycolysis	-0.142794828119996	0.0572425400560472	0.0843305277611409
ME7	glycolysis	0.203341954551886	0.0064827730321575	0.011626712503326
ME3	glycolysis	0.644115672566758	3.0440743903949597e-22	5.0227227441516805e-21
ME5	glycolysis	0.338984114757604	3.68263502629995e-06	1.12524959136943e-05
ME0	glycolysis	0.0441107785800842	0.55878331469743	0.596431512243456
ME9	glycolysis	-0.357019519559456	9.98860274177431e-07	3.36350908651584e-06
ME1	glycolysis	-0.421988256559804	4.4455314366568e-09	2.09575053442392e-08
ME6	glycolysis	0.124527490906228	0.0976910918591816	0.129992178683588
ME4	glycolysis	-0.295321242349156	6.28233893422401e-05	0.0001459980174854
ME2	glycolysis	-0.464470188705743	6.54629938921434e-11	4.15438230469372e-10
ME8	glycolysis	-0.234933702439227	0.0015960703125981	0.0032464405935101
ME10	hypoxia	-0.194556184562877	0.0092592427316542	0.0157502582548758
ME7	hypoxia	0.254747965005868	0.0006000088929126	0.0012857333419555
ME3	hypoxia	0.597371716374322	1.34689416881761e-18	1.48158358569937e-17
ME5	hypoxia	0.257880116476883	0.0005103223721222	0.0011079367289495
ME0	hypoxia	-0.0448235983781754	0.552440624181199	0.595769300587567
ME9	hypoxia	-0.313884346583625	1.98504499147881e-05	5.36938399334432e-05
ME1	hypoxia	-0.329217419613609	7.22030372515076e-06	2.09008792043838e-05
ME6	hypoxia	0.141503241202261	0.0595542261078313	0.0861969062087032
ME4	hypoxia	-0.17226088353482	0.0214895990042951	0.0340940753433528
ME2	hypoxia	-0.379716978622854	1.71826724072245e-07	6.44350215270918e-07
ME8	hypoxia	-0.168901055292474	0.0242111297842354	0.0380460610895127
ME10	myeloid_inflammation	0.01955998804165	0.7955202538544	0.805281238564269
ME7	myeloid_inflammation	-0.299040672220987	5.018361938006e-05	0.0001217690764369
ME3	myeloid_inflammation	-0.200548126507428	0.0072720975954328	0.0127648521621959
ME5	myeloid_inflammation	-0.131466312881079	0.0802526051355369	0.110347332061363
ME0	myeloid_inflammation	-0.187536505416899	0.0121863215838046	0.0201074306132776
ME9	myeloid_inflammation	0.36995879476003	3.72318003391307e-07	1.30707384169289e-06
ME1	myeloid_inflammation	0.621599078228249	2.0705367144676402e-20	2.8469879823930104e-19
ME6	myeloid_inflammation	0.361890100209697	6.9243345359329e-07	2.38023999672694e-06
ME4	myeloid_inflammation	0.203850503601868	0.0063476134649782	0.0115094090299056
ME2	myeloid_inflammation	0.112456366385121	0.135037266196548	0.174071475956487
ME8	myeloid_inflammation	0.186255557600627	0.0128004382724932	0.0209116070788255
ME10	oxidative_phosphorylation	0.0867693198103261	0.249458898025081	0.302652339515723
ME7	oxidative_phosphorylation	0.322565853378287	1.12726927638103e-05	3.09999051004783e-05
ME3	oxidative_phosphorylation	0.0703744644542301	0.350584822479898	0.407369688092839
ME5	oxidative_phosphorylation	0.103670596396111	0.168479095898556	0.213838852486628
ME0	oxidative_phosphorylation	0.136685856059341	0.0688630384012919	0.0967985671665082
ME9	oxidative_phosphorylation	-0.416206968824241	7.554995748467181e-09	3.36261937053549e-08
ME1	oxidative_phosphorylation	-0.458491013682948	1.22838228397405e-10	7.23868131627565e-10
ME6	oxidative_phosphorylation	-0.471253679799219	3.1580474367661896e-11	2.08431130826569e-10
ME4	oxidative_phosphorylation	-0.125912701916847	0.0939888715854947	0.126082632614688
ME2	oxidative_phosphorylation	-0.224854217712189	0.0025484231748	0.0048894165563024
ME8	oxidative_phosphorylation	-0.234706025667896	0.0016133825979868	0.0032464405935101
