source_table	program	before	after	delta	proxy	dataset	cell_type	target	n_cells	n_genes	perturbation	n_sig_fdr	n_program_genes	mean_abs_Z	mean_FC	network_score
network_summary	angiogenesis					GSE154778_primary	endothelial	EPAS1			KO	1	7.0	0.811680147577754	126.918344393737	16.0000000000048
network_summary	TGFb_fibrosis					GSE154778_primary	endothelial	EPAS1			KO	0	10.0	0.620695331753959	0.153594666985644	8.04104457986203e-12
network_summary	endothelial					GSE154778_primary	endothelial	EPAS1			OE	0	10.0	0.619965784253666	1.63191764077729	0.71133631561114
network_summary	CAF_ECM					GSE154778_primary	endothelial	EPAS1			OE	0	8.0	0.916624260942794	0.197188888117208	1.23048184732202e-13
network_summary	myeloid_inflammation					GSE154778_primary	endothelial	EPAS1			OE	0	10.0	1.16062887705585	0.147859299460882	1.53810230915252e-13
network_summary	cytotoxic_TNK					GSE154778_primary	endothelial	EPAS1			OE	0	7.0	1.42928117460926	4.79434181305676e-27	1.07667161640676e-13
network_summary	T_exhaustion					GSE154778_primary	endothelial	EPAS1			OE	0	7.0	1.33912824244738	0.101858036171581	1.07667161640676e-13
network_summary	TNF_NFkB					GSE154778_primary	endothelial	EPAS1			OE	0	8.0	1.28956998155107	0.426016169965682	1.23048184732202e-13
network_summary	angiogenesis					GSE154778_primary	endothelial	EPAS1			OE	0	7.0	0.800235112708523	1.69624997016406	0.644366766613252
network_summary	TGFb_fibrosis					GSE154778_primary	endothelial	EPAS1			OE	0	10.0	1.05305646309395	0.34074733871463	1.53810230915252e-13
network_summary	endothelial					GSE154778_primary	endothelial	HERPUD1			KO	0	10.0	0.569477604110696	1.0238286787671	0.959044211359289
network_summary	CAF_ECM					GSE154778_primary	endothelial	HERPUD1			KO	0	8.0	1.08894520288435	0.825045474956637	0.79471424281853
network_summary	myeloid_inflammation					GSE154778_primary	endothelial	HERPUD1			KO	0	10.0	1.3236598602188	3.92418954831269e-05	3.13068912016638e-12
network_summary	cytotoxic_TNK					GSE154778_primary	endothelial	HERPUD1			KO	0	7.0	1.39348647677471	4.56137435942084e-07	2.1914823841164597e-12
network_summary	T_exhaustion					GSE154778_primary	endothelial	HERPUD1			KO	0	7.0	1.38694430387736	1.07374188654308e-05	2.1914823841164597e-12
network_summary	TNF_NFkB					GSE154778_primary	endothelial	HERPUD1			KO	0	8.0	1.16222958180964	0.0034184510941917	2.5045512961330997e-12
network_summary	angiogenesis					GSE154778_primary	endothelial	HERPUD1			KO	0	7.0	0.404426746904712	1.20884196971149	0.95904421135835
network_summary	TGFb_fibrosis					GSE154778_primary	endothelial	HERPUD1			KO	0	10.0	0.712129603559937	0.0028859714281082	3.13068912016638e-12
network_summary	endothelial					GSE154778_primary	endothelial	HERPUD1			OE	0	10.0	0.911480192668208	0.981862353639154	0.338000973923456
network_summary	CAF_ECM					GSE154778_primary	endothelial	HERPUD1			OE	0	8.0	0.893643675236871	0.192279211605606	5.21894024898678e-13
network_summary	myeloid_inflammation					GSE154778_primary	endothelial	HERPUD1			OE	0	10.0	1.1433972916106	0.194079016509074	6.52367531123348e-13
network_summary	cytotoxic_TNK					GSE154778_primary	endothelial	HERPUD1			OE	0	7.0	1.41068462306391	1.46447309480184e-22	4.56657271786343e-13
network_summary	T_exhaustion					GSE154778_primary	endothelial	HERPUD1			OE	0	7.0	1.30587128915084	0.0366949235407327	4.56657271786343e-13
network_summary	TNF_NFkB					GSE154778_primary	endothelial	HERPUD1			OE	0	8.0	1.2925720640395	0.486803586338427	5.21894024898678e-13
network_summary	angiogenesis					GSE154778_primary	endothelial	HERPUD1			OE	0	7.0	0.957039714377922	0.506004476355529	4.56657271786343e-13
network_summary	TGFb_fibrosis					GSE154778_primary	endothelial	HERPUD1			OE	0	10.0	1.07147481322484	0.506133764208636	6.52367531123348e-13
network_summary	endothelial					GSE154778_primary	endothelial	MARCKS			KO	0	10.0	0.594371776472002	0.4996205534063	4.69868558078343e-12
network_summary	CAF_ECM					GSE154778_primary	endothelial	MARCKS			KO	0	8.0	0.983956823528883	0.0265202547453147	3.75894846462675e-12
network_summary	myeloid_inflammation					GSE154778_primary	endothelial	MARCKS			KO	0	10.0	1.36616775976925	0.0100538253515141	4.69868558078343e-12
network_summary	cytotoxic_TNK					GSE154778_primary	endothelial	MARCKS			KO	0	7.0	1.4975328211825	0.0660876264912696	3.2890799065484e-12
network_summary	T_exhaustion					GSE154778_primary	endothelial	MARCKS			KO	0	7.0	1.45765239150209	0.0065643704269585	3.2890799065484e-12
