direction	source	target	ligand	receptor	pathway_name	n_datasets	datasets	mean_prob	min_p
to_endothelial	endothelial	endothelial	NAMPT	ITGA5_ITGB1	VISFATIN	3	GSE154778,GSE155698,GSE212966	0.0002399776313475	0.0
from_endothelial	endothelial	endothelial	NAMPT	ITGA5_ITGB1	VISFATIN	3	GSE154778,GSE155698,GSE212966	0.0002399776313475	0.0
from_endothelial	endothelial	mast	FN1	CD44	FN1	3	GSE154778,GSE155698,GSE212966	0.0002380614082272	0.0
to_endothelial	myeloid	endothelial	ITGB2	ICAM2	ITGB2	3	GSE154778,GSE155698,GSE212966	0.0002377055591154	0.0
to_endothelial	CD8	endothelial	CD99	CD99	CD99	3	GSE154778,GSE155698,GSE212966	0.0002363698426338	0.0
from_endothelial	endothelial	CD8	CD99	CD99	CD99	3	GSE154778,GSE155698,GSE212966	0.0002363698426338	0.0
from_endothelial	endothelial	epithelial	COL4A1	SDC1	COLLAGEN	3	GSE154778,GSE155698,GSE212966	0.0002353986844442	0.0
to_endothelial	fibroblast_CAF	endothelial	COL6A2	ITGA9_ITGB1	COLLAGEN	3	GSE154778,GSE155698,GSE212966	0.0002344145897956	0.0
from_endothelial	endothelial	myeloid	FN1	CD44	FN1	3	GSE154778,GSE155698,GSE212966	0.0002341645925387	0.0
to_endothelial	fibroblast_CAF	endothelial	LAMB1	ITGA6_ITGB1	LAMININ	3	GSE154778,GSE155698,GSE212966	0.0002292256559585	0.0
to_endothelial	fibroblast_CAF	endothelial	COL6A1	ITGA2_ITGB1	COLLAGEN	3	GSE154778,GSE155698,GSE212966	0.0002271445499939	0.0
to_endothelial	fibroblast_CAF	endothelial	COL4A2	ITGA1_ITGB1	COLLAGEN	3	GSE154778,GSE155698,GSE212966	0.0002270998228539	0.0
to_endothelial	endothelial	endothelial	COL4A1	ITGA9_ITGB1	COLLAGEN	3	GSE154778,GSE155698,GSE212966	0.0002254393635601	0.0
from_endothelial	endothelial	endothelial	COL4A1	ITGA9_ITGB1	COLLAGEN	3	GSE154778,GSE155698,GSE212966	0.0002254393635601	0.0
from_endothelial	endothelial	malignant_epithelial	COL4A1	SDC1	COLLAGEN	3	GSE154778,GSE155698,GSE212966	0.0002247933567357	0.0
to_endothelial	T_NK	endothelial	CD99	CD99	CD99	3	GSE154778,GSE155698,GSE212966	0.0002246017258694	0.0
from_endothelial	endothelial	T_NK	CD99	CD99	CD99	3	GSE154778,GSE155698,GSE212966	0.0002246017258694	0.0
